timestamp,topic,message
2025-11-27T12:31:47.746000+00:00,bhkw/ausschaltpunkt,30
2025-11-27T12:31:48.688000+00:00,bhkw/warning,True
2025-11-27T12:31:48.691000+00:00,bhkw/error,False
2025-11-27T12:31:48.696000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:48.711000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:48.737000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:49.667000+00:00,bhkw/warning,True
2025-11-27T12:31:49.693000+00:00,bhkw/error,False
2025-11-27T12:31:49.696000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:49.702000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:49.733000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:50.667000+00:00,bhkw/warning,True
2025-11-27T12:31:50.694000+00:00,bhkw/error,False
2025-11-27T12:31:50.697000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:50.703000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:50.733000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:51.666000+00:00,bhkw/warning,True
2025-11-27T12:31:51.696000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:51.696000+00:00,bhkw/error,False
2025-11-27T12:31:51.702000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:51.746000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:52.665000+00:00,bhkw/warning,True
2025-11-27T12:31:52.694000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:52.694000+00:00,bhkw/error,False
2025-11-27T12:31:52.722000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:52.737000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:53.667000+00:00,bhkw/warning,True
2025-11-27T12:31:53.705000+00:00,bhkw/error,False
2025-11-27T12:31:53.705000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:53.711000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:53.734000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:54.666000+00:00,bhkw/warning,True
